"Tweet","Tweet ID","Time","Favorited","Retweeted","Is Favourited","Is Retweeted","Is Retweet","Retweet from","Latitude","Longitude","Country","User"
"Após prisão de ex-chefe de inteligência de Chavez e Maduro, umas das mais famosas e renomadas jornalistas da Espanha denuncia que tráfico de drogas financia partidos de esquerda na estrutura do Foro de São Paulo e ainda destaca a participação criminosa de Dilma, Lula e PT. https://t.co/MWSyCeVHjC",1447239616847831040,"2021-10-10 13:36:27",14555,4848,0,0,0,,,,,"carlosjordy"
"A favor de si próprio, o que Lula teria a dizer? A primeira ideia que ocorre é lembrar um tema que ele não vai poder aproveitar na campanha: o combate à corrupção 
https://t.co/aZLExrwyhT",1447169631131668480,"2021-10-10 08:58:21",5508,952,0,0,0,,,,,"jrguzzofatos"
"Atingindo 59%, Bolsonaro é o candidato à reeleição mais rejeitado da HISTÓRIA, de acordo com dados do DATAFOLHA. A Web Diva do Palácio do Planalto está sendo surrado por Lula em mais uma pesquisa. https://t.co/lcy87WUtMW https://t.co/NEOSPFc5rg",1447547916676108290,"2021-10-11 10:01:32",9473,562,0,0,0,,,,,"bchartsnet"
"RT @Guerreiracomun1: O novo xingamento dos cirominions é chamar o Lula de velho, chamaram @zehdeabreu de velho, já me chamaram de coroa. Que gente patética! Desespero pra emplacar 3a. Via tá pior que a 5a. Série.",1447598440519774210,"2021-10-11 13:22:17",0,78,0,0,1,"Guerreiracomun1",,,,"LuizAntnioDeL20"
"RT @sxantosfc: Não sei até que ponto todas essas fakes news sobre o Lula podem influenciar o eleitor não ideológico, mas o PT não pode cometer o mesmo erro de 2018 e esperar que a lembrança do lulismo resolva tudo. Não é feio se defender e atacar também faz parte do jogo. Chega de moralismo!",1447598435058733060,"2021-10-11 13:22:16",0,196,0,0,1,"sxantosfc",,,,"edu_jpa"
"@cirogomes Meu sonho é que o Ciro esqueça o Lula por 1 minuto e pense nos oprimidos.",1447598433754353660,"2021-10-11 13:22:16",0,0,0,0,0,,,,,"HatoryWoox"
"RT @direitasiqueira: EU ACREDITO NO QUE A REDE RECORD FALOU DO LULA!!! COMO DESCONFIAR DE UM CANAL QUE TRAZ INFORMAÇÃO DE QUALIDADE COMO A GRÁVIDA DE TAUBATÉ E O ET BILU??? ???",1447598432928030720,"2021-10-11 13:22:16",0,51,0,0,1,"direitasiqueira",,,,"FernandoCesar77"
"@Guerreiracomun1 @BlogdoNoblat @LulaOficial Tá desinformada, então. Procura nas entrevistas do Ciro que vc vai ver ele chamando o bozo de genocida. Mas é bom ver que vcs trabalham com fake news igual os bolsonaristas. O lula já assinou pedido de impeachment de vários presidentes, pq ele mesmo não assina do genocida?",1447598431443329020,"2021-10-11 13:22:15",0,0,0,0,0,,,,,"tmru1"
"@rodolfomendes32 Lula lá..",1447598431258783740,"2021-10-11 13:22:15",0,0,0,0,0,,,,"Brazil","MarceloLira_ITZ"
"@rodolfomendes32 Lula @LulaOficial ?",1447598428293378050,"2021-10-11 13:22:15",0,0,0,0,0,,,,,"femachado13"
"RT @depreeus: antes eu achava o lula molusco chato  hj eu entendo ele https://t.co/Mfp3Ej0Zf2",1447598425017569280,"2021-10-11 13:22:14",0,896,0,0,1,"depreeus",,,,"_vitoriatx"
"@gingertropico Pessoas como o Lula, se é que é isso que você tá chamando de esquerda, têm medo de falar em comunismo ou até mesmo socialismo. Criticar o capitalismo também não pode porque assusta as pessoas e foge da linha ""paz e amor"".",1447598423998439420,"2021-10-11 13:22:14",0,0,0,0,0,,,,,"FernandoBertan"
"RT @direitasiqueira: EU ACREDITO NO QUE A REDE RECORD FALOU DO LULA!!! COMO DESCONFIAR DE UM CANAL QUE TRAZ INFORMAÇÃO DE QUALIDADE COMO A GRÁVIDA DE TAUBATÉ E O ET BILU??? ???",1447598417526525950,"2021-10-11 13:22:12",0,51,0,0,1,"direitasiqueira",,,,"cynreds"
